Table DR2. Nominally interseismic GPS velocity field used to constrain the block model.
Columns give: station name, longitude, latitude, east velocity, north velocity, east
uncertainty, north uncertainty!
!
Station Lon. Lat. V_e V_n S_e S_n!
GOGA_PBO 276.527 33.415 -3.377 -1.220 1.900 1.800!
JFWS_PBO 269.752 42.914 -3.912 -5.761 1.600 1.600!
RESO_PBO 265.106 74.691 -0.048 -0.251 1.100 1.900!
KSU1_PBO 263.391 39.101 -2.239 -1.010 1.300 1.300!
WMOK_PBO 261.219 34.738 -0.996 -1.457 1.100 1.100!
P040_PBO 257.313 38.071 -0.475 -1.463 0.400 1.000!
P039_PBO 256.846 36.448 -0.934 -0.052 0.500 0.400!
P044_PBO 256.778 40.172 -0.698 -0.350 0.400 0.300!
P038_PBO 256.593 34.147 -1.217 -0.346 0.500 0.500!
P043_PBO 255.814 43.881 -0.962 -1.027 1.200 0.700!
P054_PBO 255.559 45.846 -0.689 -0.721 1.400 0.900!
P055_PBO 255.315 47.117 -0.642 -1.215 1.200 0.800!
P042_PBO 255.089 42.052 -1.030 -0.010 0.400 0.300!
P037_PBO 254.895 38.422 -0.764 -0.105 0.300 0.400!
P035_PBO 254.816 34.601 -1.402 -0.103 0.500 0.500!
P041_PBO 254.806 39.949 -0.608 -0.203 0.400 0.300!
P036_PBO 254.706 36.420 -1.637 0.299 0.600 0.300!
RG17_PBO 254.330 39.762 -3.115 -0.292 1.700 1.700!
P123_PBO 254.089 36.635 -0.730 -0.486 1.100 0.800!
P034_PBO 253.541 34.946 -1.091 0.027 0.300 0.300!
SC01_PBO 253.033 34.068 -0.824 -1.161 0.800 0.700!
P052_PBO 252.981 47.375 -0.536 -0.959 0.900 1.000!
P026_PBO 252.805 32.659 -1.574 0.945 0.400 0.700!
P032_PBO 252.744 41.742 -0.545 -0.254 0.800 0.500!
P033_PBO 252.612 43.953 -0.564 -1.150 0.600 0.500!
P107_PBO 252.120 35.132 -0.987 0.461 1.200 0.900!
P028_PBO 252.092 36.032 -0.955 -0.338 0.500 1.100!
P031_PBO 252.091 39.515 0.772 -1.638 1.200 0.800!
P051_PBO 251.454 45.807 -0.298 -1.223 0.600 0.500!
P012_PBO 250.666 38.097 -1.383 -0.504 1.000 0.800!
P718_PBO 250.624 44.753 -2.039 -1.503 1.300 1.400!
P011_PBO 250.481 36.150 -0.753 -0.600 1.200 0.800!
BLW2_PBO 250.442 42.767 -1.912 -0.099 0.300 0.300!
P722_PBO 250.429 45.457 -0.113 -0.898 0.900 0.500!
P715_PBO 250.310 43.501 -0.886 -0.296 1.600 1.700!
P717_PBO 250.103 44.485 -0.150 -1.391 1.200 1.200!
P721_PBO 249.998 45.003 -0.731 -0.788 0.700 0.700!
P015_PBO 249.991 34.264 -1.722 -0.188 0.500 0.400!
P709_PBO 249.714 44.392 -0.654 -0.381 1.000 0.800!
WLWY_PBO 249.713 44.640 4.755 -4.781 0.500 0.300!
P720_PBO 249.694 44.943 -0.834 -0.381 0.700 0.600!
P716_PBO 249.488 44.718 -10.443 0.924 0.900 0.600!
P030_PBO 249.487 41.750 -1.152 -0.676 1.000 0.500!
P461_PBO 249.241 45.354 0.580 -0.970 0.900 0.500!
P711_PBO 249.139 44.636 11.353 3.432 0.900 0.500!
P049_PBO 249.094 47.350 0.353 -0.967 1.200 1.400!
P460_PBO 248.971 45.140 0.671 -0.664 0.800 0.900!
P680_PBO 248.901 44.598 0.651 -2.462 0.600 0.800!
P101_PBO 248.764 41.692 -0.156 -0.759 0.900 0.500!
P050_PBO 248.752 48.809 0.806 -1.259 0.900 0.800!
P119_PBO 248.742 40.732 -0.392 -0.958 1.100 1.300!
P118_PBO 248.650 40.635 -1.095 -0.756 0.600 0.600!
P089_PBO 248.585 40.807 -1.089 0.145 0.400 0.300!
P360_PBO 248.549 44.318 -1.961 -2.754 0.500 0.500!
P684_PBO 248.550 43.919 -2.175 -1.654 0.500 0.400!
P112_PBO 248.550 39.817 -0.825 -0.354 0.500 0.600!
BBID_PBO 248.474 44.185 -2.566 -2.452 0.600 0.800!
HWUT_PBO 248.435 41.607 -0.760 0.049 1.600 1.600!
P110_PBO 248.429 39.715 0.171 -1.451 0.700 0.500!
MPUT_PBO 248.366 40.016 -2.519 1.051 0.600 0.400!
P088_PBO 248.277 40.772 -0.591 -1.347 1.300 1.400!
P117_PBO 248.249 40.435 -3.004 -2.247 1.400 1.600!
P719_PBO 248.211 45.218 0.772 -1.646 1.400 1.500!
P108_PBO 248.055 39.589 -1.735 -0.742 0.500 0.600!
SPIC_PBO 247.873 39.306 -2.946 0.862 0.300 0.200!
P106_PBO 247.738 39.459 -2.741 -0.535 1.100 1.100!
P086_PBO 247.718 40.649 -2.498 0.966 0.400 0.400!
P122_PBO 247.668 41.635 -2.262 -0.833 0.300 0.200!
P016_PBO 247.639 40.078 -2.719 -0.232 1.400 1.100!
FERN_PBO 247.545 35.342 -2.390 0.470 0.300 0.200!
P105_PBO 247.496 39.388 -2.744 0.471 0.500 0.700!
P706_PBO 247.476 45.043 -0.337 -1.128 1.400 1.400!
P114_PBO 247.472 40.634 -2.699 -0.328 0.800 0.400!
P045_PBO 247.383 45.383 -0.325 -1.826 1.200 1.300!
P057_PBO 247.377 41.757 -2.758 -0.426 0.300 0.300!
P681_PBO 247.364 44.400 -2.361 -1.926 1.200 1.300!
P121_PBO 247.302 41.803 -2.857 -0.824 0.300 0.300!
P104_PBO 247.283 39.186 -1.452 -1.024 1.600 1.100!
P675_PBO 247.281 42.212 -3.342 -1.424 1.200 1.200!
P678_PBO 247.195 43.449 -2.197 -1.522 1.600 1.300!
P111_PBO 246.988 41.817 -2.657 -1.717 1.200 1.200!
P084_PBO 246.946 40.494 -3.606 -0.916 1.100 1.100!
P113_PBO 246.722 40.671 -3.200 -1.111 1.000 1.200!
P046_PBO 246.668 47.030 0.433 -2.009 1.300 1.400!
P082_PBO 246.495 39.269 -2.852 -0.505 1.300 1.300!
P677_PBO 246.132 42.879 -2.522 -1.297 1.000 1.200!
P081_PBO 246.129 39.067 -2.960 -0.297 1.100 1.100!
P354_PBO 246.021 44.109 -1.277 -1.494 1.200 1.200!
P003_PBO 245.995 32.723 -3.287 0.106 0.700 0.700!
GNPS_PBO 245.811 34.309 -2.332 2.911 0.200 0.200!
P080_PBO 245.723 39.119 -2.160 -0.287 1.600 1.700!
P623_PBO 245.401 34.189 -3.637 0.420 0.400 0.400!
GMPK_PBO 245.173 33.051 -3.478 2.626 0.300 0.200!
IID2_PBO 244.968 32.706 -3.893 2.321 0.570 0.616!
IMPS_PBO 244.855 34.158 -2.556 0.639 0.589 0.572!
P626_PBO 244.762 35.291 -3.400 0.035 0.600 0.500!
P005_PBO 244.721 39.910 -2.935 -1.064 1.500 1.600!
P509_PBO 244.706 32.891 -1.585 3.137 0.600 0.600!
P511_PBO 244.704 33.887 -4.550 0.637 0.400 0.400!
P500_PBO 244.700 32.690 -6.392 8.937 0.500 0.500!
P510_PBO 244.657 33.144 -3.976 1.538 0.600 0.600!
P622_PBO 244.634 35.163 -3.605 0.038 0.600 0.500!
P501_PBO 244.602 32.876 -4.686 6.439 0.400 0.400!
P502_PBO 244.578 32.982 -4.682 3.940 0.500 0.600!
P508_PBO 244.571 33.248 -4.873 1.940 0.400 0.400!
P499_PBO 244.512 32.980 -6.783 5.041 0.600 0.700!
IVCO_PBO 244.493 32.829 -14.864 20.255 0.626 0.534!
P506_PBO 244.490 33.081 -6.579 4.042 0.800 0.800!
P076_PBO 244.487 39.536 -2.349 -0.458 1.500 1.600!
GLRS_PBO 244.479 33.275 -6.872 1.742 0.300 0.500!
P621_PBO 244.456 35.473 -3.995 0.042 0.600 0.500!
P102_PBO 244.444 39.925 -2.635 0.243 1.500 1.500!
P498_PBO 244.430 32.898 -15.286 21.843 0.500 0.500!
P497_PBO 244.423 32.835 -16.488 22.143 0.500 0.600!
P496_PBO 244.404 32.751 -23.391 28.044 0.500 0.900!
P507_PBO 244.388 33.200 -8.963 0.209 0.602 0.644!
P495_PBO 244.372 33.045 -11.281 15.244 0.400 0.400!
HNPS_PBO 244.365 33.705 -5.858 2.745 0.200 0.300!
P611_PBO 244.350 35.205 -4.805 0.045 0.900 1.000!
GMRC_PBO 244.340 34.784 -3.720 1.045 0.200 0.200!
P505_PBO 244.313 33.424 -5.868 3.346 1.000 0.900!
P494_PBO 244.268 32.760 -22.791 26.547 0.600 0.500!
CRRS_PBO 244.265 33.070 -14.236 18.442 0.596 0.577!
P610_PBO 244.236 34.426 -3.533 0.848 1.100 1.100!
P504_PBO 244.234 33.516 -8.565 4.148 0.500 0.500!
P607_PBO 244.179 33.741 -6.357 2.849 0.900 1.000!
P075_PBO 244.111 39.374 0.643 -5.650 1.500 1.600!
I40A_PBO 244.089 34.727 -4.023 1.551 0.400 0.500!
OPBL_PBO 244.082 34.370 -2.935 2.651 0.300 0.200!
SLMS_PBO 244.022 33.292 -13.573 16.453 0.200 0.200!
BEMT_PBO 244.002 34.001 -5.948 5.653 0.300 0.200!
P074_PBO 243.950 39.546 -2.751 -0.646 1.400 1.500!
BMHL_PBO 243.947 34.251 -3.740 4.454 0.200 0.200!
BKAP_PBO 243.920 35.287 -4.903 1.155 0.200 0.200!
P601_PBO 243.920 33.959 -6.550 5.455 0.900 1.000!
OPCP_PBO 243.917 34.367 -2.836 4.355 0.200 0.200!
USGC_PBO 243.915 33.030 -23.913 24.402 0.570 0.574!
P618_PBO 243.896 35.142 -4.709 0.155 0.500 0.600!
NBPS_PBO 243.852 34.509 -3.431 3.256 0.200 0.300!
OPCX_PBO 243.851 34.430 -2.934 4.156 0.300 0.200!
P066_PBO 243.830 32.617 -27.898 26.957 0.300 0.300!
LDSW_PBO 243.791 34.699 -6.025 2.158 0.300 0.500!
P600_PBO 243.788 33.866 -9.654 9.558 0.300 0.400!
P491_PBO 243.773 33.575 -15.164 14.858 0.400 0.400!
SDHL_PBO 243.721 34.255 -5.921 5.183 0.707 0.629!
P087_PBO 243.721 40.363 -2.523 0.659 1.500 1.600!
OPRD_PBO 243.708 34.533 -6.431 5.860 0.200 0.200!
SHOS_PBO 243.701 35.971 -4.480 1.160 0.200 0.200!
OPCL_PBO 243.695 34.428 -5.735 7.860 0.200 0.300!
P486_PBO 243.678 33.260 -23.476 22.060 0.300 0.300!
CDMT_PBO 243.664 34.829 -7.321 2.961 0.200 0.200!
P480_PBO 243.651 32.976 -27.186 25.261 0.300 0.300!
CTMS_PBO 243.630 34.124 -7.045 11.662 0.200 0.200!
P485_PBO 243.591 33.210 -26.278 24.363 1.200 1.200!
P073_PBO 243.576 39.501 -2.954 0.763 1.400 1.500!
P490_PBO 243.574 33.523 -18.172 17.873 0.607 0.620!
AGMT_PBO 243.571 34.594 -8.129 7.763 0.200 0.200!
HCMN_PBO 243.570 34.755 -8.623 4.463 0.200 0.200!
LDES_PBO 243.567 34.267 -6.004 10.248 0.698 0.700!
P599_PBO 243.463 34.217 -8.943 13.165 1.100 1.100!
P483_PBO 243.431 33.059 -26.984 26.066 0.300 0.300!
P617_PBO 243.428 35.321 -5.004 2.866 1.100 1.100!
P484_PBO 243.379 33.376 -24.473 22.967 0.400 0.400!
RDMT_PBO 243.375 34.644 -10.928 8.768 0.300 0.200!
P482_PBO 243.329 33.240 -26.078 24.969 0.400 0.300!
DSSC_PBO 243.288 33.733 -18.360 19.870 0.400 0.300!
P085_PBO 243.264 40.495 -2.920 -0.630 1.500 1.500!
P072_PBO 243.259 39.521 -3.655 0.470 0.400 0.400!
P615_PBO 243.237 35.205 -6.509 5.371 1.100 1.100!
P479_PBO 243.217 33.493 -23.769 22.971 0.800 0.500!
ORMT_PBO 243.185 34.675 -11.528 10.872 0.200 0.200!
P606_PBO 243.120 34.462 -12.235 11.773 0.500 0.500!
BBRY_PBO 243.116 34.264 -12.942 14.774 0.300 0.300!
GOLD_PBO 243.111 35.425 -6.511 6.274 0.246 0.259!
WOMT_PBO 243.068 34.669 -11.928 11.875 0.200 0.200!
LNMT_PBO 243.060 35.090 -7.614 9.275 0.200 0.200!
P473_PBO 243.050 32.734 -29.096 27.375 0.300 0.300!
P584_PBO 243.048 33.893 -17.756 19.475 0.300 0.300!
BSRY_PBO 242.988 34.919 -10.020 11.076 0.200 0.200!
TOIY_PBO 242.951 39.542 -3.955 1.277 0.300 0.200!
BILL_PBO 242.935 33.578 -25.467 25.678 0.200 0.300!
P478_PBO 242.928 33.236 -27.279 26.878 0.200 0.900!
P472_PBO 242.895 32.889 -28.691 27.179 0.300 0.300!
P589_PBO 242.890 34.621 -13.131 13.479 0.300 0.300!
P477_PBO 242.887 33.503 -24.970 24.879 0.400 0.400!
PPBF_PBO 242.818 33.836 -22.655 24.236 0.574 0.557!
P002_PBO 242.813 39.521 -3.557 0.281 1.700 1.700!
P476_PBO 242.810 33.440 -27.273 27.281 0.400 0.400!
BAMO_PBO 242.795 40.413 -3.725 1.981 0.300 0.300!
P474_PBO 242.751 33.355 -27.606 27.439 0.626 0.654!
P588_PBO 242.732 34.785 -10.026 11.882 0.600 0.400!
P586_PBO 242.719 34.535 -13.834 13.383 0.700 0.500!
P612_PBO 242.684 34.187 -18.247 17.384 0.500 0.800!
MLFP_PBO 242.682 33.918 -23.456 24.484 0.200 0.200!
P577_PBO 242.681 34.305 -16.743 16.384 0.300 0.400!
SCIA_PBO 242.612 34.607 -14.391 15.547 0.552 0.557!
P594_PBO 242.610 35.897 -8.487 7.385 0.300 0.400!
P470_PBO 242.606 34.462 -15.158 14.848 0.682 0.687!
P071_PBO 242.599 39.347 -2.364 0.485 1.700 1.800!
P595_PBO 242.597 35.698 -8.194 7.686 0.600 0.600!
P464_PBO 242.590 36.159 -7.078 4.886 1.200 1.300!
ECFS_PBO 242.588 33.648 -25.666 26.886 0.200 0.200!
MAT2_PBO 242.563 33.857 -24.054 25.669 0.505 0.512!
EWPP_PBO 242.474 34.104 -23.951 22.688 0.200 0.200!
P471_PBO 242.459 33.562 -26.470 26.289 0.500 0.600!
P583_PBO 242.457 34.987 -9.820 12.189 0.400 0.400!
CPBN_PBO 242.427 35.072 -9.417 11.889 0.500 0.500!
P069_PBO 242.395 39.288 -1.267 0.890 1.700 1.700!
CNPP_PBO 242.391 33.858 -24.859 25.790 0.200 0.200!
SBCC_PBO 242.339 33.553 -27.570 28.391 0.200 0.200!
CCCC_PBO 242.329 35.565 -9.500 10.492 0.200 0.200!
RAMT_PBO 242.317 35.339 -8.608 11.892 0.200 0.200!
PHLB_PBO 242.306 34.925 -11.264 14.707 0.587 0.592!
P094_PBO 242.296 37.201 -6.242 1.792 1.800 1.900!
P581_PBO 242.271 34.510 -15.637 16.293 0.500 0.500!
LORS_PBO 242.246 34.133 -24.824 23.004 0.570 0.574!
HOLM_PBO 242.239 70.736 1.367 0.594 0.700 0.700!
CHMS_PBO 242.172 34.640 -14.233 15.395 0.200 0.300!
SPMS_PBO 242.151 33.993 -25.589 25.572 0.545 0.550!
AZU1_PBO 242.104 34.126 -25.493 23.838 0.652 0.555!
PBPP_PBO 242.077 34.508 -16.703 18.590 0.570 0.619!
CGDM_PBO 242.035 34.244 -24.847 22.398 0.600 1.100!
P068_PBO 242.015 39.306 -3.168 0.499 1.700 1.800!
P579_PBO 241.994 35.039 -10.020 12.999 1.200 1.200!
P022_PBO 241.986 45.232 -0.754 0.900 0.700 0.600!
P591_PBO 241.984 35.152 -10.116 12.600 0.500 0.400!
RHCL_PBO 241.974 34.019 -27.755 25.100 0.300 0.600!
BEPK_PBO 241.926 35.878 -9.990 11.501 0.300 0.600!
BKMS_PBO 241.905 33.962 -28.858 30.001 0.300 0.500!
P468_PBO 241.882 36.976 -8.152 5.202 1.600 1.700!
P099_PBO 241.841 39.212 -3.772 2.503 1.500 1.600!
BTDM_PBO 241.812 34.293 -25.647 23.304 0.300 0.300!
P562_PBO 241.811 34.982 -11.115 15.289 0.492 0.498!
RSTP_PBO 241.807 34.875 -12.826 15.804 0.200 0.200!
VDCY_PBO 241.780 34.179 -26.451 24.204 0.300 0.200!
PKRD_PBO 241.767 34.072 -26.954 24.505 0.300 0.300!
CRHS_PBO 241.727 33.824 -27.564 28.705 0.574 0.600!
LASC_PBO 241.693 33.928 -27.628 27.356 0.709 0.712!
PVRS_PBO 241.679 33.774 -28.881 29.721 0.587 0.596!
ECCO_PBO 241.671 33.887 -27.654 29.122 0.589 0.596!
CAT2_PBO 241.666 33.312 -29.881 32.007 0.200 0.200!
DSHS_PBO 241.651 34.024 -27.257 26.607 0.400 0.400!
P627_PBO 241.621 37.973 -4.717 5.908 1.700 1.700!
P651_PBO 241.613 37.563 -5.932 6.108 1.700 1.800!
LFRS_PBO 241.587 34.095 -28.377 26.224 0.566 0.572!
THCP_PBO 241.585 35.158 -12.517 13.109 0.200 0.200!
P133_PBO 241.540 38.725 -3.591 4.210 1.600 1.600!
P653_PBO 241.528 37.737 -3.826 6.310 1.700 1.800!
ISLK_PBO 241.526 35.662 -11.786 10.431 0.594 0.579!
CAT1_PBO 241.517 33.446 -29.873 32.636 0.520 0.550!
VNCX_PBO 241.515 34.293 -26.401 24.246 0.561 0.566!
VIMT_PBO 241.486 34.126 -27.254 28.011 0.300 0.300!
P560_PBO 241.459 34.822 -16.529 17.812 0.400 0.500!
P556_PBO 241.455 34.771 -15.431 15.712 0.700 0.800!
P650_PBO 241.445 37.891 -5.421 6.612 1.700 1.800!
P020_PBO 241.434 47.002 0.108 0.812 0.200 0.300!
LAPC_PBO 241.425 34.182 -27.367 28.474 0.577 0.581!
P558_PBO 241.388 35.139 -13.519 12.213 1.200 1.200!
CTDM_PBO 241.387 34.517 -25.611 21.425 0.606 0.610!
P559_PBO 241.382 34.839 -15.629 16.113 0.600 0.600!
CBHS_PBO 241.370 34.139 -28.238 29.232 0.561 0.566!
P557_PBO 241.344 34.944 -16.026 14.014 0.600 0.500!
P643_PBO 241.302 37.562 -2.233 7.815 1.600 1.700!
P021_PBO 241.270 48.675 0.568 -0.084 0.500 0.800!
P649_PBO 241.264 37.903 -5.421 7.216 1.800 1.800!
P453_PBO 241.255 47.759 0.534 0.216 0.600 0.500!
P567_PBO 241.246 35.421 -12.609 10.017 0.400 0.400!
SFDM_PBO 241.245 34.460 -26.543 23.517 0.300 0.400!
P571_PBO 241.233 36.231 -10.681 8.517 0.500 0.900!
P642_PBO 241.183 37.591 -13.033 2.218 1.600 1.600!
P646_PBO 241.180 37.677 -5.230 7.518 1.600 1.700!
EDPP_PBO 241.170 34.946 -17.326 16.818 0.200 0.300!
TOST_PBO 241.163 34.248 -28.469 30.023 0.592 0.618!
P554_PBO 241.152 34.792 -19.632 19.319 1.400 1.400!
P639_PBO 241.131 37.655 -6.631 7.219 1.700 1.700!
MPWD_PBO 241.122 34.296 -28.916 29.444 0.594 0.598!
P553_PBO 241.121 34.835 -19.730 17.319 0.400 0.500!
FMVT_PBO 241.116 34.356 -28.247 28.820 0.300 0.300!
P134_PBO 241.070 38.981 -5.384 4.021 1.600 1.600!
CIRX_PBO 241.063 34.110 -29.156 30.321 0.300 0.200!
P130_PBO 241.062 39.268 -4.174 4.021 1.600 1.700!
WGPP_PBO 241.016 35.011 -17.225 16.522 0.200 0.300!
P454_PBO 241.007 47.954 2.540 -1.278 1.400 1.500!
P630_PBO 241.000 37.613 -6.433 8.422 1.600 1.600!
KBRC_PBO 240.992 34.399 -28.046 26.022 1.300 1.400!
P648_PBO 240.981 37.800 -9.826 8.623 1.700 1.800!
BAR1_PBO 240.970 33.480 -30.978 33.823 0.200 0.300!
CSCI_PBO 240.961 34.168 -29.354 30.923 0.300 0.200!
P451_PBO 240.959 46.793 0.098 1.023 0.600 0.600!
P056_PBO 240.937 36.027 -13.189 5.724 0.500 1.100!
SOMT_PBO 240.936 34.320 -29.249 30.324 0.300 0.300!
P128_PBO 240.931 39.486 -4.367 3.424 1.700 1.700!
P632_PBO 240.914 37.786 -11.527 8.624 1.700 1.700!
NHRG_PBO 240.859 34.499 -27.543 23.625 0.300 0.300!
OVLS_PBO 240.858 34.327 -28.889 29.202 0.656 0.640!
P551_PBO 240.845 34.856 -22.431 17.626 1.800 2.000!
RSVY_PBO 240.816 34.541 -28.342 24.126 0.300 0.500!
HVYS_PBO 240.812 34.441 -28.446 25.027 0.300 0.300!
P566_PBO 240.771 36.324 -11.980 8.127 0.400 0.600!
P565_PBO 240.763 35.744 -14.300 7.828 0.700 1.400!
VNCO_PBO 240.762 34.276 -31.052 29.428 0.200 0.500!
P549_PBO 240.674 34.600 -29.241 21.430 1.700 1.700!
BVPP_PBO 240.652 35.157 -18.321 14.630 0.200 0.200!
OZST_PBO 240.647 34.683 -28.787 24.343 0.644 0.634!
ANA1_PBO 240.637 34.015 -30.861 35.831 0.400 1.200!
CSST_PBO 240.629 34.408 -29.647 27.031 0.200 0.300!
P563_PBO 240.579 35.419 -13.812 12.132 0.700 0.600!
P452_PBO 240.513 47.404 0.317 0.433 0.600 0.500!
P095_PBO 240.463 39.698 -6.561 4.334 0.800 0.600!
P450_PBO 240.456 45.953 0.364 1.535 0.600 0.400!
P127_PBO 240.400 39.499 -7.369 4.336 0.600 0.600!
P145_PBO 240.376 41.358 -4.002 3.036 0.600 0.600!
P449_PBO 240.369 46.260 0.375 1.437 0.800 0.800!
P543_PBO 240.287 35.319 -16.017 17.038 1.200 1.300!
RCA2_PBO 240.280 34.500 -31.831 30.441 0.656 0.642!
P139_PBO 240.278 39.908 -4.855 4.839 1.600 1.700!
P544_PBO 240.262 35.731 -12.103 11.239 0.500 0.600!
P725_PBO 240.254 37.089 -10.655 8.739 1.500 1.600!
CRU1_PBO 240.215 34.029 -30.977 35.222 0.579 0.572!
COPR_PBO 240.120 34.415 -30.649 29.242 0.300 0.200!
P547_PBO 240.091 35.935 -9.796 11.443 0.500 0.600!
P537_PBO 240.065 35.317 -22.018 23.644 1.200 1.400!
P017_PBO 240.064 41.276 -1.907 2.944 2.000 2.000!
BBDM_PBO 240.018 34.582 -32.544 32.745 0.900 0.500!
P541_PBO 239.999 35.687 -13.206 14.645 0.500 0.600!
P448_PBO 239.995 45.911 0.460 1.645 0.600 0.400!
FGST_PBO 239.991 34.733 -30.539 32.045 0.300 0.200!
P536_PBO 239.975 35.280 -24.620 26.346 1.300 1.400!
P307_PBO 239.942 36.947 -12.861 9.646 1.100 0.700!
SRS1_PBO 239.935 34.004 -31.465 35.646 0.200 0.200!
P535_PBO 239.899 35.235 -26.222 28.747 1.900 1.900!
P538_PBO 239.888 35.534 -22.011 23.748 1.200 1.200!
P540_PBO 239.869 35.801 -12.402 13.548 0.700 0.800!
TJRN_PBO 239.867 34.483 -31.648 33.648 0.200 0.300!
P546_PBO 239.845 35.928 -9.598 13.049 0.600 0.700!
P539_PBO 239.818 35.703 -15.306 18.949 0.400 0.400!
P305_PBO 239.803 37.352 -11.248 7.849 0.500 0.500!
P515_PBO 239.760 34.871 -30.435 31.150 1.100 1.100!
P532_PBO 239.733 35.634 -22.809 27.751 0.300 0.400!
P300_PBO 239.723 36.304 -14.085 7.451 0.300 0.300!
ORES_PBO 239.721 34.739 -31.504 34.268 0.598 0.624!
P298_PBO 239.706 36.016 -9.195 13.552 1.600 1.600!
P310_PBO 239.666 38.736 -11.199 8.353 1.600 1.700!
P280_PBO 239.652 35.544 -24.912 29.853 1.200 1.200!
MIG1_PBO 239.649 34.038 -31.665 36.453 0.300 0.300!
P529_PBO 239.646 35.440 -27.016 30.153 1.200 1.200!
P304_PBO 239.643 36.739 -11.270 9.053 0.600 0.700!
P296_PBO 239.636 36.052 -8.994 13.653 1.500 1.500!
P533_PBO 239.629 35.748 -22.805 29.153 1.100 1.100!
P388_PBO 239.622 42.469 -2.466 3.354 1.100 0.900!
P516_PBO 239.617 35.106 -30.028 30.554 0.600 0.600!
P514_PBO 239.590 35.011 -29.231 32.354 1.300 1.300!
GR8V_PBO 239.584 36.399 -12.082 10.554 0.500 0.600!
CARH_PBO 239.569 35.888 -21.993 28.043 0.589 0.762!
P294_PBO 239.560 36.123 -9.692 11.055 1.100 1.100!
MASW_PBO 239.557 35.833 -23.602 28.855 0.400 0.300!
LAND_PBO 239.527 35.900 -22.600 29.156 0.500 0.400!
HOGS_PBO 239.521 35.867 -23.201 29.556 0.400 0.300!
P530_PBO 239.520 35.625 -25.910 31.456 0.500 0.800!
P146_PBO 239.463 39.337 -10.479 7.357 1.300 1.300!
P293_PBO 239.457 36.089 -8.994 12.057 1.400 1.500!
P528_PBO 239.455 35.328 -27.421 33.257 1.400 1.400!
P297_PBO 239.448 35.974 -29.398 34.258 0.500 0.600!
LOWS_PBO 239.406 35.829 -25.403 31.959 0.400 0.400!
P527_PBO 239.395 35.754 -26.506 31.659 1.400 1.400!
VNDP_PBO 239.384 34.556 -32.538 34.830 0.355 0.359!
P302_PBO 239.381 36.635 -12.175 8.559 0.500 0.300!
P306_PBO 239.356 37.795 -12.434 7.260 1.200 1.300!
USLO_PBO 239.339 35.312 -28.822 34.860 0.400 0.500!
P445_PBO 239.328 45.590 0.245 2.560 0.600 0.500!
P140_PBO 239.307 38.829 -12.198 7.061 1.300 1.300!
P287_PBO 239.302 36.025 -32.097 31.661 1.000 0.400!
P303_PBO 239.295 37.054 -11.061 8.561 0.500 0.400!
P301_PBO 239.257 36.806 -10.870 8.362 0.500 0.300!
CRBT_PBO 239.249 35.792 -27.005 33.462 0.400 0.500!
P148_PBO 239.194 40.419 -6.342 3.863 1.300 1.400!
P525_PBO 239.192 35.426 -29.918 34.063 1.600 1.600!
P295_PBO 239.158 35.697 -27.109 33.764 0.300 0.700!
P526_PBO 239.130 35.636 -26.911 35.465 0.500 1.300!
P288_PBO 239.121 36.140 -29.994 32.065 0.900 0.700!
P284_PBO 239.093 35.933 -29.601 31.566 0.500 0.300!
P065_PBO 239.067 46.844 1.089 1.466 1.700 1.800!
P309_PBO 239.049 38.090 -9.825 7.767 0.600 0.700!
P285_PBO 239.019 36.417 -12.585 12.467 1.200 1.200!
P067_PBO 238.997 35.552 -29.415 34.268 0.600 1.700!
P252_PBO 238.942 37.170 -11.358 7.869 0.500 0.600!
P278_PBO 238.939 35.711 -29.210 35.569 0.600 0.700!
P249_PBO 238.936 36.612 -11.878 7.569 1.100 1.100!
P444_PBO 238.932 48.730 0.456 3.769 1.200 1.300!
P260_PBO 238.916 37.711 -11.540 7.570 1.200 0.600!
P276_PBO 238.905 38.645 -10.807 7.070 0.600 0.500!
P259_PBO 238.899 37.433 -12.049 4.470 0.900 0.400!
P175_PBO 238.865 36.426 -28.885 32.871 1.100 1.100!
QCYN_PBO 238.863 36.161 -29.594 35.271 1.000 0.700!
P247_PBO 238.812 36.560 -28.581 33.572 1.100 1.100!
P275_PBO 238.785 38.322 -11.319 6.473 1.200 1.300!
P255_PBO 238.675 37.582 -11.645 8.275 1.000 1.000!
P244_PBO 238.645 37.011 -13.566 9.076 0.500 0.500!
P273_PBO 238.612 38.116 -10.327 5.976 0.800 0.900!
P242_PBO 238.537 36.954 -19.068 18.578 0.700 1.000!
P257_PBO 238.536 37.755 -10.840 7.678 0.500 0.500!
HCRO_PBO 238.530 40.816 -7.069 5.717 1.181 0.843!
P674_PBO 238.510 41.616 -5.803 3.379 1.300 1.400!
P672_PBO 238.493 41.712 -3.800 4.679 0.800 1.000!
P240_PBO 238.458 37.008 -20.667 22.980 0.900 0.600!
P387_PBO 238.426 44.297 1.893 2.081 1.400 1.500!
P234_PBO 238.409 36.859 -27.972 30.181 1.200 1.200!
P256_PBO 238.395 37.932 -11.934 8.281 0.500 0.500!
P442_PBO 238.384 48.260 1.336 0.682 1.400 1.200!
P268_PBO 238.354 38.474 -14.216 7.182 1.500 0.500!
P217_PBO 238.349 37.104 -21.464 22.082 0.500 0.700!
P432_PBO 238.317 46.623 1.876 2.983 0.400 0.300!
